time,ch0,ch1
00:00:00.065.250,0.3491,-1.0059
00:00:00.065.500,0.3589,-0.8545
00:00:00.065.750,0.4077,-0.6860
00:00:00.066.000,0.4077,-0.5176
00:00:00.066.250,0.4077,-0.3784
00:00:00.066.500,0.4395,-0.2173
00:00:00.066.750,0.4590,-0.0781
00:00:00.067.000,0.4785,0.0610
00:00:00.067.250,0.4883,0.2002
00:00:00.067.500,0.4785,0.3296
00:00:00.067.750,0.4688,0.4590
00:00:00.068.000,0.4688,0.5786
00:00:00.068.250,0.4492,0.6763
00:00:00.068.500,0.4175,0.7861
00:00:00.068.750,0.3394,0.8862
00:00:00.069.000,0.3003,0.9766
00:00:00.069.250,0.2490,1.0645
00:00:00.069.500,0.2002,1.1353
00:00:00.069.750,0.1587,1.2061
00:00:00.070.000,0.1196,1.2842
00:00:00.070.250,0.0903,1.3354
00:00:00.070.500,0.0610,1.3940
00:00:00.070.750,0.0513,1.4526
00:00:00.071.000,0.0415,1.5039
00:00:00.071.250,0.0000,1.5527
00:00:00.071.500,0.0000,1.5820
00:00:00.071.750,-0.0293,1.6235
00:00:00.072.000,-0.0293,1.6626
00:00:00.072.250,-0.0391,1.6724
00:00:00.072.500,-0.0586,1.7236
00:00:00.072.750,-0.0586,1.7627
00:00:00.073.000,-0.0684,1.8213
00:00:00.073.250,-0.1294,1.8311
00:00:00.073.500,-0.1489,1.7920
00:00:00.073.750,-0.2075,1.7114
00:00:00.074.000,-0.1685,1.6138
00:00:00.074.250,-0.1978,1.5039
00:00:00.074.500,-0.1978,1.4038
00:00:00.074.750,-0.2295,1.2842
00:00:00.075.000,-0.2295,1.1450
00:00:00.075.250,-0.2588,1.0254
00:00:00.075.500,-0.2979,0.8765
00:00:00.075.750,-0.3271,0.6982
00:00:00.076.000,-0.3369,0.5688
00:00:00.076.250,-0.3589,0.3979
00:00:00.076.500,-0.3882,0.2393
00:00:00.076.750,-0.3979,0.0708
00:00:00.077.000,-0.3979,-0.0879
00:00:00.077.250,-0.4175,-0.2490
00:00:00.077.500,-0.4077,-0.4077
00:00:00.077.750,-0.3589,-0.5664
00:00:00.078.000,-0.3271,-0.6763
00:00:00.078.250,-0.2881,-0.7764
00:00:00.078.500,-0.2490,-0.8862
00:00:00.078.750,-0.1685,-0.9839
00:00:00.079.000,-0.1294,-1.0742
00:00:00.079.250,-0.1001,-1.1450
00:00:00.079.500,-0.0586,-1.2036
00:00:00.079.750,-0.0195,-1.2842
00:00:00.080.000,-0.0098,-1.3330
00:00:00.080.250,0.0195,-1.3940
00:00:00.080.500,0.0415,-1.4331
00:00:00.080.750,0.0610,-1.5015
00:00:00.081.000,0.0806,-1.5332
00:00:00.081.250,0.0806,-1.5723
00:00:00.081.500,0.0903,-1.6113
00:00:00.081.750,0.1001,-1.6528
00:00:00.082.000,0.1196,-1.6919
00:00:00.082.250,0.1196,-1.7212
00:00:00.082.500,0.1392,-1.7505
00:00:00.082.750,0.1392,-1.7920
00:00:00.083.000,0.1392,-1.8018
00:00:00.083.250,0.1807,-1.8018
00:00:00.083.500,0.2002,-1.7920
00:00:00.083.750,0.1587,-1.7114
00:00:00.084.000,0.2295,-1.6211
00:00:00.084.250,0.2588,-1.5332
00:00:00.084.500,0.2881,-1.4331
00:00:00.084.750,0.2783,-1.3135
00:00:00.085.000,0.3003,-1.1841
00:00:00.085.250,0.3296,-1.0352
00:00:00.085.500,0.3687,-0.9058
00:00:00.085.750,0.3882,-0.7056
00:00:00.086.000,0.3979,-0.5371
00:00:00.086.250,0.3979,-0.3979
00:00:00.086.500,0.4492,-0.2393
00:00:00.086.750,0.4590,-0.0781
00:00:00.087.000,0.4688,0.0708
00:00:00.087.250,0.4785,0.2295
00:00:00.087.500,0.4785,0.3394
00:00:00.087.750,0.4785,0.4688
00:00:00.088.000,0.4590,0.5981
00:00:00.088.250,0.4395,0.6982
00:00:00.088.500,0.3784,0.8179
00:00:00.088.750,0.3198,0.9155
00:00:00.089.000,0.2686,0.9961
00:00:00.089.250,0.2197,1.0864
00:00:00.089.500,0.1904,1.1841
00:00:00.089.750,0.1196,1.2646
00:00:00.090.000,0.1099,1.3452
00:00:00.090.250,0.0708,1.4233
00:00:00.090.500,0.0098,1.4746
00:00:00.090.750,0.0000,1.5234
00:00:00.091.000,-0.0098,1.5723
00:00:00.091.250,-0.0488,1.6138
00:00:00.091.500,-0.0586,1.6626
00:00:00.091.750,-0.0488,1.7114
00:00:00.092.000,-0.0879,1.6431
00:00:00.092.250,-0.0391,1.6821
00:00:00.092.500,-0.0488,1.7017
00:00:00.092.750,-0.0488,1.7432
00:00:00.093.000,-0.1001,1.7725
00:00:00.093.250,-0.1196,1.7822
00:00:00.093.500,-0.1294,1.7627
00:00:00.093.750,-0.1978,1.6919
00:00:00.094.000,-0.1978,1.5942
00:00:00.094.250,-0.1880,1.4941
00:00:00.094.500,-0.2075,1.3940
00:00:00.094.750,-0.1978,1.2646
00:00:00.095.000,-0.2490,1.1353
00:00:00.095.250,-0.2490,1.0059
00:00:00.095.500,-0.3076,0.8374
00:00:00.095.750,-0.3369,0.6982
00:00:00.096.000,-0.3369,0.5371
00:00:00.096.250,-0.3369,0.3784
00:00:00.096.500,-0.3687,0.2295
00:00:00.096.750,-0.4175,0.0708
00:00:00.097.000,-0.4077,-0.0879
00:00:00.097.250,-0.4175,-0.2393
00:00:00.097.500,-0.3882,-0.4175
00:00:00.097.750,-0.3589,-0.5371
00:00:00.098.000,-0.3467,-0.6567
00:00:00.098.250,-0.3076,-0.7666
00:00:00.098.500,-0.2686,-0.8643
00:00:00.098.750,-0.1978,-0.9644
00:00:00.099.000,-0.1392,-1.0449
00:00:00.099.250,-0.1196,-1.1353
00:00:00.099.500,-0.0684,-1.1841
00:00:00.099.750,-0.0293,-1.2646
00:00:00.100.000,-0.0098,-1.3232
00:00:00.100.250,0.0098,-1.3721
00:00:00.100.500,0.0000,-1.4429
00:00:00.100.750,0.0415,-1.4819
00:00:00.101.000,0.0610,-1.5430
00:00:00.101.250,0.0708,-1.5820
00:00:00.101.500,0.0806,-1.6211
00:00:00.101.750,0.0903,-1.6406
00:00:00.102.000,0.1001,-1.6919
00:00:00.102.250,0.1196,-1.7017
00:00:00.102.500,0.1294,-1.7407
00:00:00.102.750,0.1196,-1.7822
00:00:00.103.000,0.1294,-1.8018
00:00:00.103.250,0.1392,-1.8213
00:00:00.103.500,0.2100,-1.7920
00:00:00.103.750,0.1392,-1.7212
00:00:00.104.000,0.2197,-1.6309
00:00:00.104.250,0.2490,-1.5234
00:00:00.104.500,0.2783,-1.4038
00:00:00.104.750,0.2783,-1.2939
00:00:00.105.000,0.3003,-1.1646
00:00:00.105.250,0.3198,-1.0156
00:00:00.105.500,0.3491,-0.8447
00:00:00.105.750,0.3784,-0.6958
00:00:00.106.000,0.3882,-0.5273
00:00:00.106.250,0.4175,-0.3882
00:00:00.106.500,0.4175,-0.2173
00:00:00.106.750,0.4688,-0.0684
00:00:00.107.000,0.4688,0.0708
00:00:00.107.250,0.4785,0.2197
00:00:00.107.500,0.4980,0.3491
00:00:00.107.750,0.4785,0.4688
00:00:00.108.000,0.4590,0.5884
00:00:00.108.250,0.4395,0.6885
00:00:00.108.500,0.4077,0.7959
00:00:00.108.750,0.3296,0.8960
00:00:00.109.000,0.2783,0.9766
00:00:00.109.250,0.2295,1.0645
00:00:00.109.500,0.1709,1.1646
00:00:00.109.750,0.1196,1.2158
00:00:00.110.000,0.1099,1.2842
00:00:00.110.250,0.0610,1.3550
00:00:00.110.500,0.0513,1.4038
00:00:00.110.750,0.0195,1.4526
00:00:00.111.000,-0.0098,1.5137
