time,ch0,ch1
00:00:00.076.590,0.0806,-1.5332
00:00:00.076.923,0.0806,-1.5723
00:00:00.077.256,0.0708,-1.6016
00:00:00.077.589,0.0903,-1.6113
00:00:00.077.922,0.1196,-1.5332
00:00:00.078.255,0.1807,-1.4233
00:00:00.078.588,0.1807,-1.2939
00:00:00.078.921,0.2100,-1.1646
00:00:00.079.254,0.2490,-1.0059
00:00:00.079.587,0.2783,-0.8350
00:00:00.079.920,0.3296,-0.6470
00:00:00.080.253,0.3491,-0.4370
00:00:00.080.586,0.3687,-0.2881
00:00:00.080.919,0.4297,-0.1099
00:00:00.081.252,0.4492,0.0610
00:00:00.081.585,0.4785,0.2197
00:00:00.081.918,0.4883,0.3687
00:00:00.082.251,0.4688,0.4980
00:00:00.082.584,0.4492,0.6177
00:00:00.082.917,0.3687,0.7568
00:00:00.083.250,0.3198,0.8667
00:00:00.083.583,0.2588,0.9668
00:00:00.083.916,0.2100,1.0449
00:00:00.084.249,0.1587,1.1353
00:00:00.084.582,0.1294,1.2158
00:00:00.084.915,0.0806,1.2646
00:00:00.085.248,0.0513,1.3354
00:00:00.085.581,0.0293,1.3843
00:00:00.085.914,0.0195,1.4233
00:00:00.086.247,0.0195,1.4746
00:00:00.086.580,0.0000,1.4941
00:00:00.086.913,0.0098,1.5332
00:00:00.087.246,-0.0195,1.6040
00:00:00.087.579,-0.0684,1.6138
00:00:00.087.912,-0.0781,1.5137
00:00:00.088.245,-0.1099,1.4136
00:00:00.088.578,-0.1489,1.3135
00:00:00.088.911,-0.1587,1.1743
00:00:00.089.244,-0.1782,1.0254
00:00:00.089.577,-0.2295,0.8472
00:00:00.089.910,-0.2783,0.6372
00:00:00.090.243,-0.2979,0.4395
00:00:00.090.576,-0.2979,0.2686
00:00:00.090.909,-0.3687,0.1001
00:00:00.091.242,-0.3687,-0.0684
00:00:00.091.575,-0.3882,-0.2588
00:00:00.091.908,-0.4077,-0.3979
00:00:00.092.241,-0.3589,-0.5273
00:00:00.092.574,-0.3076,-0.6470
